composite_id,created_timestamp,updated_timestamp,status,severity_name,tactic,technique,hostname,device_id,platform_name,user_name,file_name,sha256,command_line,product,type,description
alert-0001,2026-06-26T02:14:19.791849+00:00,2026-06-26T03:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-002,aid-002,Windows,user1,cmd.exe,0000000000000000000000000000000000000000000000000000000000000001,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0002,2026-06-26T01:14:19.791849+00:00,2026-06-26T02:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-003,aid-003,Linux,user2,rundll32.exe,0000000000000000000000000000000000000000000000000000000000000002,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0003,2026-06-26T00:14:19.791849+00:00,2026-06-26T01:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-004,aid-004,Mac,user3,sample.exe,0000000000000000000000000000000000000000000000000000000000000003,sample.exe -silent,EPP,LDT,Demo alert
alert-0004,2026-06-25T23:14:19.791849+00:00,2026-06-26T00:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-005,aid-005,Windows,user4,powershell.exe,0000000000000000000000000000000000000000000000000000000000000004,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0005,2026-06-25T22:14:19.791849+00:00,2026-06-25T23:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-006,aid-006,Windows,user5,cmd.exe,0000000000000000000000000000000000000000000000000000000000000005,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0006,2026-06-25T21:14:19.791849+00:00,2026-06-25T22:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-007,aid-007,Windows,user6,rundll32.exe,0000000000000000000000000000000000000000000000000000000000000006,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0007,2026-06-25T20:14:19.791849+00:00,2026-06-25T21:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-008,aid-008,Linux,user7,sample.exe,0000000000000000000000000000000000000000000000000000000000000007,sample.exe -silent,EPP,LDT,Demo alert
alert-0008,2026-06-25T19:14:19.791849+00:00,2026-06-25T20:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-009,aid-009,Mac,user8,powershell.exe,0000000000000000000000000000000000000000000000000000000000000008,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0009,2026-06-25T18:14:19.791849+00:00,2026-06-25T19:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-010,aid-010,Windows,user9,cmd.exe,0000000000000000000000000000000000000000000000000000000000000009,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0010,2026-06-25T17:14:19.791849+00:00,2026-06-25T18:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-011,aid-011,Windows,user10,rundll32.exe,000000000000000000000000000000000000000000000000000000000000000a,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
