device_id,hostname,platform_name,os_version,kernel_version,agent_version,first_seen,last_seen,local_ip,external_ip,mac_address,status,online_state_api,reduced_functionality_mode,system_manufacturer,system_product_name,site_name,groups,policies,tags
aid-001,DEMO-WIN-001,Windows,Windows 11,10.0.26100,7.37.20907.0,2025-12-27T03:14:19.791849+00:00,2026-06-25T03:14:19.791849+00:00,10.0.0.1,203.0.113.10,00:11:22:33:44:01,normal,online,False,DemoVendor,DemoModel,Jakarta,[{'name': 'Workstations'}],"{'prevention': {'policy_name': 'Demo Workstation Policy'}, 'sensor_update': {'policy_name': 'Demo Sensor Policy'}}","['demo', 'pm']"
aid-002,DEMO-WIN-002,Windows,Windows 11,10.0.26100,7.36.20805.0,2025-12-26T03:14:19.791849+00:00,2026-06-24T03:14:19.791849+00:00,10.0.0.2,203.0.113.10,00:11:22:33:44:02,normal,online,False,DemoVendor,DemoModel,Jakarta,[{'name': 'Workstations'}],"{'prevention': {'policy_name': 'Demo Workstation Policy'}, 'sensor_update': {'policy_name': 'Demo Sensor Policy'}}","['demo', 'pm']"
aid-003,DEMO-LIN-003,Linux,Ubuntu 24.04,6.8.0,7.37.19004.0,2025-12-25T03:14:19.791849+00:00,2026-06-26T03:14:19.791849+00:00,10.0.0.3,203.0.113.10,00:11:22:33:44:03,normal,offline,True,DemoVendor,DemoModel,Jakarta,[{'name': 'Workstations'}],"{'prevention': {'policy_name': 'Demo Workstation Policy'}, 'sensor_update': {'policy_name': 'Demo Sensor Policy'}}","['demo', 'pm']"
aid-004,DEMO-MAC-004,Mac,Ventura (13),22.6.0,7.37.20904.0,2025-12-24T03:14:19.791849+00:00,2026-06-06T03:14:19.791849+00:00,10.0.0.4,203.0.113.10,00:11:22:33:44:04,normal,online,False,DemoVendor,DemoModel,Jakarta,[{'name': 'Workstations'}],"{'prevention': {'policy_name': 'Demo Workstation Policy'}, 'sensor_update': {'policy_name': 'Demo Sensor Policy'}}","['demo', 'pm']"
aid-005,DEMO-WIN-005,Windows,Windows 11,10.0.26100,7.37.20907.0,2025-12-23T03:14:19.791849+00:00,2026-06-24T03:14:19.791849+00:00,10.0.0.5,203.0.113.10,00:11:22:33:44:05,normal,online,,DemoVendor,DemoModel,Jakarta,[{'name': 'Workstations'}],"{'prevention': {'policy_name': 'Demo Workstation Policy'}, 'sensor_update': {'policy_name': 'Demo Sensor Policy'}}","['demo', 'pm']"
aid-006,DEMO-WIN-006,Windows,Windows 10,10.0.26100,7.36.20805.0,2025-12-22T03:14:19.791849+00:00,2026-06-26T03:14:19.791849+00:00,10.0.0.6,203.0.113.10,00:11:22:33:44:06,normal,offline,False,DemoVendor,DemoModel,Jakarta,[{'name': 'Workstations'}],"{'prevention': {'policy_name': 'Demo Workstation Policy'}, 'sensor_update': {'policy_name': 'Demo Sensor Policy'}}","['demo', 'pm']"
aid-007,DEMO-WIN-007,Windows,Windows 11,10.0.26100,7.22.19406.0,2025-12-21T03:14:19.791849+00:00,2026-06-25T03:14:19.791849+00:00,10.0.0.7,203.0.113.10,00:11:22:33:44:07,normal,online,False,DemoVendor,DemoModel,Jakarta,[{'name': 'Workstations'}],"{'prevention': {'policy_name': 'Demo Workstation Policy'}, 'sensor_update': {'policy_name': 'Demo Sensor Policy'}}","['demo', 'pm']"
aid-008,DEMO-LIN-008,Linux,Ubuntu 24.04,6.8.0,7.38.19102.0,2025-12-20T03:14:19.791849+00:00,2026-06-24T03:14:19.791849+00:00,10.0.0.8,203.0.113.10,00:11:22:33:44:08,normal,online,True,DemoVendor,DemoModel,Jakarta,[{'name': 'Workstations'}],"{'prevention': {'policy_name': 'Demo Workstation Policy'}, 'sensor_update': {'policy_name': 'Demo Sensor Policy'}}","['demo', 'pm']"
aid-009,DEMO-MAC-009,Mac,Ventura (13),22.6.0,7.38.21003.0,2025-12-19T03:14:19.791849+00:00,2026-06-06T03:14:19.791849+00:00,10.0.0.9,203.0.113.10,00:11:22:33:44:09,normal,offline,False,DemoVendor,DemoModel,Jakarta,[{'name': 'Workstations'}],"{'prevention': {'policy_name': 'Demo Workstation Policy'}, 'sensor_update': {'policy_name': 'Demo Sensor Policy'}}","['demo', 'pm']"
aid-010,DEMO-WIN-010,Windows,Windows 11,10.0.26100,7.36.20805.0,2025-12-18T03:14:19.791849+00:00,2026-06-25T03:14:19.791849+00:00,10.0.0.10,203.0.113.10,00:11:22:33:44:0a,normal,online,False,DemoVendor,DemoModel,Jakarta,[{'name': 'Workstations'}],"{'prevention': {'policy_name': 'Demo Workstation Policy'}, 'sensor_update': {'policy_name': 'Demo Sensor Policy'}}","['demo', 'pm']"
