Platform,Version,Release Channel,Release Date,End of Support
Windows,7.38.21003,LTS,2026-06-03,2027-06-03
Windows,7.37.20907,Regular,2026-05-19,2026-11-25
Windows,7.36.20805,Regular,2026-04-14,2026-10-11
Windows,7.35.20709,Regular,2026-03-30,2026-09-26
Windows,7.34.20610,Regular,2026-03-02,2026-08-29
Windows,7.33.20505,Hotfix,2026-01-21,2026-07-12
Windows,7.33.20504,Regular,2026-01-13,2026-07-12
Windows,7.32.20406,LTS,2026-04-27,2026-12-08
Windows,7.32.20405,LTS,2026-03-09,2026-12-08
Windows,7.32.20403,LTS,2025-12-08,2026-12-08
Windows,7.16.18637,Legacy Hotfix,2025-10-08,2027-12-31
Mac,7.38.21003,Regular,2026-06-02,2027-06-02
Mac,7.37.20904,Regular,2026-05-18,2026-11-14
Mac,7.36.20807,Regular,2026-04-13,2026-10-10
Mac,7.35.20704,Regular,2026-03-17,2026-09-13
Mac,7.34.20604,Regular,2026-02-10,2026-08-09
Mac,7.33.20503,Regular,2026-01-12,2026-07-11
Mac,7.32.20409,LTS,2026-04-27,2026-12-05
Mac,7.32.20408,LTS,2026-02-25,2026-12-05
Mac,7.32.20407,LTS,2025-12-10,2026-12-05
Linux,7.38.19102,LTS,2026-06-03,2027-06-03
Linux,7.37.19004,Regular,2026-05-20,2026-11-16
Linux,7.36.18909,Regular,2026-04-22,2026-10-19
Linux,7.35.18803,Regular,2026-03-16,2026-09-12
Linux,7.34.18708,Regular,2026-02-11,2026-08-10
Linux,7.33.18606,Regular,2026-01-22,2026-07-21
Linux,7.32.18513,LTS,2026-05-04,2026-12-04
Linux,7.32.18511,LTS,2026-02-26,2026-12-04
Linux,7.32.18504,LTS,2025-12-09,2026-12-04
